PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
22200,MUKATSAR,11 KV Telupura(FL10),Cancellation Request Approved (Permit not active),2026-07-28T09:54:33Z,2026-07-28T09:54:00Z
22199,SANGRUR,"KHOKHAR(FL01), AZAD AP(FL08)",Cancellation Request Approved (Permit not active),2026-07-28T09:29:02Z,2026-07-28T09:28:00Z
22198,PATIALA,Rorewal(FL03),Approved/ Active Permit,2026-07-28T09:22:29Z,2026-07-28T09:22:00Z
22197,MUKATSAR,BANDI WALA UPS(FL01),Cancellation Request Approved (Permit not active),2026-07-28T08:31:50Z,2026-07-28T08:31:00Z
22196,MUKATSAR,"11 KB BAZIDPURA(FL05), 11 KV SITO(FL03)",Cancellation Request Approved (Permit not active),2026-07-28T07:45:02Z,2026-07-28T07:44:00Z
22195,Zirakpur,"BPCL(FL31), LALRU MANDI(FL12)",Cancellation Request Approved (Permit not active),2026-07-28T01:16:12Z,2026-07-28T01:15:00Z
22194,JALANDHAR,PREET NAGAR(FL07),Cancellation Request Approved (Permit not active),2026-07-27T23:56:25Z,2026-07-27T23:55:00Z
22193,BARNALA,NEW AMT ALLOYS(FL13),Cancellation Request Approved (Permit not active),2026-07-27T23:20:39Z,2026-07-27T23:23:00Z
22192,MUKATSAR,BANDI WALA UPS(FL01),Cancellation Request Approved (Permit not active),2026-07-27T23:07:13Z,2026-07-27T23:06:00Z
22191,JALANDHAR,GADAIPUR-1(FL15),Cancellation Request Approved (Permit not active),2026-07-27T22:52:34Z,2026-07-27T22:51:00Z
22190,JALANDHAR,PREET NAGAR(FL07),Cancellation Request Approved (Permit not active),2026-07-27T22:03:35Z,2026-07-27T22:03:00Z
22189,Zirakpur,Dehar. Cat. 1(FL21),Cancellation Request Approved (Permit not active),2026-07-27T21:45:42Z,2026-07-27T21:44:00Z
22188,JALANDHAR,RAJA GARDEN(FL08),Cancellation Request Approved (Permit not active),2026-07-27T21:13:15Z,2026-07-27T21:12:00Z
22187,BARNALA,NEW AMT ALLOYS(FL13),Cancellation Request Approved (Permit not active),2026-07-27T20:49:04Z,2026-07-27T20:50:00Z
22186,Zirakpur,JAGAN TUBE(FL02),Cancellation Request Approved (Permit not active),2026-07-27T20:42:13Z,2026-07-27T20:41:00Z
22185,Zirakpur,DEEPAK PIPE(FL10),Cancellation Request Approved (Permit not active),2026-07-27T19:58:17Z,2026-07-27T19:57:00Z
22184,Zirakpur,"Dehar. Cat. 1(FL21), LALRU RURAL  Kandi Pure AP(FL23)",Cancellation Request Approved (Permit not active),2026-07-27T18:53:40Z,2026-07-27T18:51:00Z
22183,Zirakpur,ALFA DRUG(FL01),Cancellation Request Approved (Permit not active),2026-07-27T18:22:31Z,2026-07-27T18:21:00Z
22182,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-27T18:10:07Z,2026-07-27T18:09:00Z
22181,Zirakpur,11KV BEHRA FEEDER(E39),Cancellation Request Approved (Permit not active),2026-07-27T18:03:54Z,2026-07-27T18:03:00Z
22180,CITY WEST LUDHIANA,MES-2(FL11),Cancellation Request Approved (Permit not active),2026-07-27T18:02:18Z,2026-07-27T18:01:00Z
22179,CITY AMRITSAR,COMPANY BAGH(FL13),Cancellation Request Approved (Permit not active),2026-07-27T17:59:54Z,2026-07-27T17:58:00Z
22178,SANGRUR,DEHLA(FL03),Cancellation Request Approved (Permit not active),2026-07-27T17:57:39Z,2026-07-27T17:57:00Z
22177,SUB URBAN AMRITSAR,MAJITHA ROAD VERKA BYE PASS(FL05),Cancellation Request Approved (Permit not active),2026-07-27T17:57:31Z,2026-07-27T17:56:00Z
22176,JALANDHAR,B.S.N.L(FL19),Cancellation Request Approved (Permit not active),2026-07-27T17:34:49Z,2026-07-27T17:33:00Z
22175,TARN TARAN,Budha Theh(FL06),Cancellation Request Approved (Permit not active),2026-07-27T17:31:05Z,2026-07-27T17:29:00Z
22174,MUKATSAR,"11 KV Bhagsar UPS(FL07), 11 KV SITO(FL03), 11 KV SARDARPURA UPS(FL06)",Cancellation Request Approved (Permit not active),2026-07-27T17:24:03Z,2026-07-27T17:23:00Z
22173,GURDASPUR,SAILI ROAD(FL18),Cancellation Request Approved (Permit not active),2026-07-27T17:02:30Z,2026-07-27T17:01:00Z
22172,CITY WEST LUDHIANA,Jagjit Nagar(FL04),Cancellation Request Approved (Permit not active),2026-07-27T16:55:17Z,2026-07-27T16:54:00Z
22171,MUKATSAR,"BAHAVAL BASI(FL04), 11 KV BALLUANA(FL02)",Permit Request Submitted (Permit not active),2026-07-27T16:53:15Z,2026-07-27T16:52:00Z
22170,CITY WEST LUDHIANA,JAWADDI(FL17),Cancellation Request Approved (Permit not active),2026-07-27T16:50:47Z,2026-07-27T16:50:00Z
22169,MUKATSAR,DALMIR KHERA(FL01),Cancellation Request Approved (Permit not active),2026-07-27T16:48:23Z,2026-07-27T16:46:00Z
22168,KHANNA,RASULARA(FL05),Cancellation Request Approved (Permit not active),2026-07-27T16:35:43Z,2026-07-27T16:34:00Z
22167,Zirakpur,JEOLY(FL08),Cancellation Request Approved (Permit not active),2026-07-27T16:31:23Z,2026-07-27T16:29:00Z
22166,KHANNA,DANA MANDI(FL07),Cancellation Request Approved (Permit not active),2026-07-27T16:25:19Z,2026-07-27T16:24:00Z
22165,SANGRUR,UPS RAMPURA(FL21),Cancellation Request Approved (Permit not active),2026-07-27T15:52:08Z,2026-07-27T15:51:00Z
22164,CITY WEST LUDHIANA,JAWADDI(FL17),Cancellation Request Approved (Permit not active),2026-07-27T15:17:55Z,2026-07-27T15:17:00Z
22163,PATIALA,11 KV BABU SINGH colony(FL13),Cancellation Request Approved (Permit not active),2026-07-27T14:48:49Z,2026-07-27T14:47:00Z
22162,SUB URBAN AMRITSAR,Mallan Wali(FL18),Cancellation Request Approved (Permit not active),2026-07-27T14:22:19Z,2026-07-27T14:19:00Z
