outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1893082,Central,CITY WEST LUDHIANA,SAHIB METAL,Planned,Active,2026-07-09T12:00:00Z,2026-07-09T14:00:00Z,120
1893081,Central,CITY WEST LUDHIANA,PREMIUM COMPLEX,Planned,Active,2026-07-09T12:00:00Z,2026-07-09T14:00:00Z,120
1893156,North,NAWANSHAHR,CHAHALPUR,Unplanned,Active,2026-07-09T11:55:00Z,2026-07-09T13:00:00Z,65
1893153,South,BARNALA,KHANPUR UPS,Planned,Active,2026-07-09T11:55:00Z,2026-07-09T13:00:00Z,65
1893154,South,SANGRUR,RAJGARH Basti,Unplanned,Active,2026-07-09T11:50:01Z,2026-07-09T12:59:15Z,69
1893157,East,MOHALI,CHARBARH UPS,Unplanned,Active,2026-07-09T11:50:00Z,2026-07-09T12:58:51Z,68
1893155,North,NAWANSHAHR,JINDAPUR,Unplanned,Active,2026-07-09T11:50:00Z,2026-07-09T13:00:00Z,70
1893152,West,MUKATSAR,FOCAL POINT,Planned,Active,2026-07-09T11:50:00Z,2026-07-09T12:20:00Z,30
1893158,Border,CITY AMRITSAR,City Feeder,Unplanned,Active,2026-07-09T11:47:00Z,2026-07-09T14:00:00Z,133
1893150,North,NAWANSHAHR,PAILY,Unplanned,Closed,2026-07-09T11:38:00Z,2026-07-09T11:48:00Z,10
1893149,Central,KHANNA,Friend colony,Unplanned,Active,2026-07-09T11:37:00Z,2026-07-09T12:20:00Z,43
1893144,South,SANGRUR,Bhathuan,Unplanned,Active,2026-07-09T11:32:49Z,2026-07-09T12:55:07Z,82
1893151,South,BARNALA,INDUSTRIAL,Unplanned,Active,2026-07-09T11:32:00Z,2026-07-09T14:04:00Z,152
1893147,East,MOHALI,MOULI,Unplanned,Active,2026-07-09T11:27:00Z,2026-07-09T13:20:00Z,113
1893142,South,SANGRUR,HARIGARH (GRID DIRBA),Unplanned,Active,2026-07-09T11:27:00Z,2026-07-09T13:35:00Z,128
1893146,Border,GURDASPUR,11KV UPS Datial Feeder,Unplanned,Active,2026-07-09T11:25:00Z,2026-07-09T12:25:00Z,60
1893143,West,BATHINDA,LAL SINGH BASTI,Unplanned,Active,2026-07-09T11:25:00Z,2026-07-09T13:19:00Z,114
1893145,East,ROPAR,SWARA,Unplanned,Active,2026-07-09T11:24:00Z,2026-07-09T15:00:00Z,216
1893137,South,SANGRUR,11kv Bhikhi Road,Planned,Active,2026-07-09T11:20:00Z,2026-07-09T12:00:00Z,40
1893136,South,SANGRUR,11 KV CHEEMA URBAN,Unplanned,Active,2026-07-09T11:20:00Z,2026-07-09T12:00:00Z,40
1893141,East,ROPAR,11KV Dugri,Unplanned,Active,2026-07-09T11:19:00Z,2026-07-09T13:00:00Z,101
1893148,West,FEROZPUR,LAKHA HAZI UPS,Planned,Active,2026-07-09T11:15:00Z,2026-07-09T13:07:00Z,112
1893139,North,HOSHIARPUR,CHACK,Unplanned,Active,2026-07-09T11:15:00Z,2026-07-09T13:00:00Z,105
1893138,North,KAPURTHALA,UPS GURSAR,Unplanned,Active,2026-07-09T11:15:00Z,2026-07-09T12:30:00Z,75
1893135,South,PATIALA,JAMITGARH UPS,Unplanned,Closed,2026-07-09T11:10:00Z,2026-07-09T11:40:10Z,30
1893132,East,ROPAR,11KV Shvalik Heights,Planned,Active,2026-07-09T11:10:00Z,2026-07-09T12:20:00Z,70
1893133,Central,CITY EAST LUDHIANA,BASTI JODHEWAL,Unplanned,Active,2026-07-09T11:07:00Z,2026-07-09T12:27:00Z,80
1893130,West,FEROZPUR,Amritsari Gate,Planned,Active,2026-07-09T11:07:00Z,2026-07-09T13:00:00Z,113
1893128,Border,SUB URBAN AMRITSAR,24 HRS RANIA,Unplanned,Active,2026-07-09T11:07:00Z,2026-07-09T15:00:00Z,233
