outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1915747,Central,SUB URBAN LUDHIANA,CITY-5,Planned,Active,2026-08-20T11:00:00Z,2026-08-20T15:00:00Z,240
1915707,South,PATIALA,FACTORY AREA (NEW),Planned,Active,2026-08-20T11:00:00Z,2026-08-20T15:00:00Z,240
1915678,South,PATIALA,SABJI MANDI,Planned,Active,2026-08-20T10:00:00Z,2026-08-20T14:00:00Z,240
1915754,North,JALANDHAR,MODEL TOWN,Unplanned,Closed,2026-08-20T07:49:35Z,2026-08-20T08:28:55Z,39
1915752,East,Zirakpur,PANCHSHEEL,Unplanned,Closed,2026-08-20T07:42:00Z,2026-08-20T07:45:00Z,3
1915751,East,Zirakpur,PUNJAB,Unplanned,Closed,2026-08-20T07:42:00Z,2026-08-20T07:45:00Z,3
1915750,East,Zirakpur,GREEN VALLEY,Unplanned,Closed,2026-08-20T07:42:00Z,2026-08-20T07:45:00Z,3
1915753,Border,SUB URBAN AMRITSAR,MEDICAL ENCLAVE,Unplanned,Active,2026-08-20T07:41:00Z,2026-08-20T09:35:00Z,114
1915748,South,SANGRUR,11 KV  LAKHMIRWALA UPS,Unplanned,Closed,2026-08-20T06:43:00Z,2026-08-20T07:30:00Z,47
1915749,East,Zirakpur,OXFORD STREET,Unplanned,Closed,2026-08-20T06:31:00Z,2026-08-20T07:19:00Z,48
1915746,South,PATIALA,UPS KAKRALA,Unplanned,Closed,2026-08-20T06:05:00Z,2026-08-20T07:10:00Z,65
1915745,Border,SUB URBAN AMRITSAR,Mollechak,Unplanned,Closed,2026-08-20T05:40:00Z,2026-08-20T06:35:00Z,55
1915744,South,SANGRUR,Nwa Pind,Unplanned,Active,2026-08-20T02:28:00Z,2026-08-20T04:28:00Z,120
1915743,South,PATIALA,BAJWA COLONY,Unplanned,Closed,2026-08-20T01:42:00Z,2026-08-20T03:56:00Z,134
1915742,Central,CITY EAST LUDHIANA,MUNDIAN,Unplanned,Closed,2026-08-20T01:11:53Z,2026-08-20T01:34:31Z,22
1915741,Central,CITY EAST LUDHIANA,SAHIBANA,Unplanned,Closed,2026-08-20T01:09:32Z,2026-08-20T01:33:58Z,24
1915740,South,SANGRUR,Cinema Road,Unplanned,Closed,2026-08-20T00:55:00Z,2026-08-20T02:55:00Z,120
