PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
23501,SANGRUR,Gurdaspura(FL05),Cancellation Request Approved (Permit not active),2026-08-21T08:21:59Z,2026-08-21T08:21:00Z
23500,SANGRUR,11 KV SATOJ URBAN(FL01),Cancellation Request Approved (Permit not active),2026-08-21T08:17:06Z,2026-08-21T08:16:00Z
23499,Zirakpur,11KV BEHRA FEEDER(E39),Cancellation Request Approved (Permit not active),2026-08-21T00:21:53Z,2026-08-21T00:21:00Z
23498,SANGRUR,11 KV KHADIAL ROAD C2(FL08),Rejected BY SSA/SSO,2026-08-20T22:36:47Z,2026-08-20T22:36:00Z
23497,CITY WEST LUDHIANA,SHAM NAGAR(FL05),Cancellation Request Approved (Permit not active),2026-08-20T22:02:57Z,2026-08-20T22:01:00Z
23496,Zirakpur,LALRU MANDI(FL12),Cancellation Request Approved (Permit not active),2026-08-20T21:54:59Z,2026-08-20T21:54:00Z
23495,SANGRUR,Ballran C-1(FL01),Cancellation Request Approved (Permit not active),2026-08-20T21:20:44Z,2026-08-20T21:19:00Z
23494,Zirakpur,11 KV BEHRA ROAD(E43),Cancellation Request Approved (Permit not active),2026-08-20T20:30:05Z,2026-08-20T20:29:00Z
23493,Zirakpur,11KV BEHRA FEEDER(E39),Rejected BY SSA/SSO,2026-08-20T20:23:55Z,2026-08-20T20:23:00Z
23492,CITY WEST LUDHIANA,Housing Board (New)(FL01),Cancellation Request Approved (Permit not active),2026-08-20T20:03:20Z,2026-08-20T20:02:00Z
23491,SANGRUR,Guru Nanak Colony(FL06),Cancellation Request Approved (Permit not active),2026-08-20T19:20:54Z,2026-08-20T19:20:00Z
23490,FARIDKOT,LandeKe URBAN(FL12),Cancellation Request Approved (Permit not active),2026-08-20T18:15:10Z,2026-08-20T18:17:00Z
23489,MUKATSAR,"11 KV SARDARPURA UPS(FL06), 11 KV Bhagsar UPS(FL07)",Cancellation Request Approved (Permit not active),2026-08-20T18:08:27Z,2026-08-20T18:08:00Z
23488,KHANNA,RAM RAJAYA(FL12),Cancellation Request Approved (Permit not active),2026-08-20T17:27:55Z,2026-08-20T17:26:00Z
23487,GURDASPUR,Taragarh Cat-1(FL08),Cancellation Request Approved (Permit not active),2026-08-20T17:16:56Z,2026-08-20T17:15:00Z
23486,SANGRUR,11 KV BHRAMKUMARI(FL-1),Cancellation Request Approved (Permit not active),2026-08-20T17:07:48Z,2026-08-20T17:06:00Z
23485,Zirakpur,"Dehar. Cat. 1(FL21), LALRU RURAL  Kandi Pure AP(FL23)",Cancellation Request Approved (Permit not active),2026-08-20T16:49:59Z,2026-08-20T16:48:00Z
23484,Zirakpur,WATER WORKS HANDESRA(FL09),Cancellation Request Approved (Permit not active),2026-08-20T16:47:45Z,2026-08-20T16:46:00Z
23483,MUKATSAR,"11 KV KUNDAL(FL03), 11 KV RATTA TIBBA(FL01)",Cancellation Request Approved (Permit not active),2026-08-20T16:35:26Z,2026-08-20T16:34:00Z
23482,Zirakpur,11KV BEHRA FEEDER(E39),Cancellation Request Approved (Permit not active),2026-08-20T16:09:57Z,2026-08-20T16:09:00Z
23481,NAWANSHAHR,TEHSIL COMPLEX GSR(FL16),Cancellation Request Approved (Permit not active),2026-08-20T15:55:25Z,2026-08-20T15:54:00Z
23480,KHANNA,SANIPUR(FL23),Cancellation Request Approved (Permit not active),2026-08-20T15:32:12Z,2026-08-20T15:31:00Z
23479,SANGRUR,"11 KV JHARON AP(FL09), 11 KV Togawal Ap (C)(FL25), 11 KV HEERO KALAN UPS(FL13), 11 KV BIR KALAN AP(FL14)",Cancellation Request Approved (Permit not active),2026-08-20T15:24:00Z,2026-08-20T15:23:00Z
23478,CITY WEST LUDHIANA,"Kiran Vihar(FL20), E Block(DO28)",Cancellation Request Approved (Permit not active),2026-08-20T15:22:57Z,2026-08-20T15:21:00Z
23477,SANGRUR,THASKA(FL06),Cancellation Request Approved (Permit not active),2026-08-20T15:13:04Z,2026-08-20T15:10:00Z
23476,SUB URBAN AMRITSAR,Industry NAG(FL02),Cancellation Request Approved (Permit not active),2026-08-20T15:11:45Z,2026-08-20T15:10:00Z
23475,KHANNA,City 1(FL08),Cancellation Request Approved (Permit not active),2026-08-20T14:35:41Z,2026-08-20T14:35:00Z
23474,MUKATSAR,"New Patrewala UPS(FL05), 11 KV Danewala AP(FL06)",Cancellation Request Approved (Permit not active),2026-08-20T14:32:23Z,2026-08-20T14:31:00Z
23473,TARN TARAN,RAILWAY STATION-II(FL04),Cancellation Request Approved (Permit not active),2026-08-20T14:14:38Z,2026-08-20T14:13:00Z
23472,SANGRUR,CHOTIAN CITY(FL02),Permit Request Submitted (Permit not active),2026-08-20T13:32:41Z,2026-08-20T13:31:00Z
