outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1922153,East,ROPAR,GHARUAN,Planned,Active,2026-09-02T13:00:00Z,2026-09-02T14:00:00Z,60
1922152,Central,KHANNA,Ghai Agro,Planned,Active,2026-09-02T12:44:07Z,2026-09-02T13:19:17Z,35
1922151,Border,TARN TARAN,Mari Megha Urban,Planned,Active,2026-09-02T12:40:34Z,2026-09-02T16:04:34Z,204
1922150,West,BATHINDA,SANGAT,Unplanned,Active,2026-09-02T12:35:43Z,2026-09-02T14:32:00Z,116
1922149,North,NAWANSHAHR,JADLA,Unplanned,Active,2026-09-02T12:30:00Z,2026-09-02T13:30:00Z,60
1922148,North,NAWANSHAHR,NAI MAZARA,Unplanned,Active,2026-09-02T12:30:00Z,2026-09-02T13:30:00Z,60
1922146,Central,KHANNA,Bija Urban,Unplanned,Active,2026-09-02T12:30:00Z,2026-09-02T13:33:00Z,63
1922142,South,SANGRUR,DC ROAD SANGRUR,Unplanned,Active,2026-09-02T12:28:22Z,2026-09-02T12:59:32Z,31
1922141,South,PATIALA,M.E.S.,Unplanned,Active,2026-09-02T12:28:00Z,2026-09-02T14:00:00Z,92
1922140,South,SANGRUR,11 KV KHADIAL ROAD C2,Unplanned,Active,2026-09-02T12:21:00Z,2026-09-02T14:30:00Z,129
1922138,Border,SUB URBAN AMRITSAR,GUMTALA,Unplanned,Active,2026-09-02T12:21:00Z,2026-09-02T12:50:00Z,29
1922145,North,JALANDHAR,Urban Rural no 2,Unplanned,Active,2026-09-02T12:20:00Z,2026-09-02T14:00:00Z,100
1922144,North,JALANDHAR,URBAN RURAL,Unplanned,Active,2026-09-02T12:20:00Z,2026-09-02T14:00:00Z,100
1922136,North,JALANDHAR,11KV CHANDAN NAGAR,Unplanned,Active,2026-09-02T12:18:00Z,2026-09-02T13:00:00Z,42
1922135,Border,GURDASPUR,City Thana,Unplanned,Active,2026-09-02T12:18:00Z,2026-09-02T13:12:00Z,54
1922143,Border,GURDASPUR,Irrigation,Unplanned,Active,2026-09-02T12:17:00Z,2026-09-02T14:00:00Z,103
1922139,West,BATHINDA,PHULO MITHI,Planned,Active,2026-09-02T12:17:00Z,2026-09-02T14:00:00Z,103
1922133,Central,CITY WEST LUDHIANA,LOHARA,Unplanned,Active,2026-09-02T12:16:53Z,2026-09-02T14:16:56Z,120
1922128,Central,CITY WEST LUDHIANA,SATGURU NAGAR,Unplanned,Active,2026-09-02T12:10:37Z,2026-09-02T14:10:40Z,120
1922131,Border,GURDASPUR,Trimmo Road,Unplanned,Active,2026-09-02T12:10:00Z,2026-09-02T13:30:00Z,80
1922130,Border,GURDASPUR,City,Unplanned,Active,2026-09-02T12:10:00Z,2026-09-02T13:30:00Z,80
1922134,North,JALANDHAR,11 kv CHILDERN PARK NO. 1,Unplanned,Active,2026-09-02T12:08:00Z,2026-09-02T12:51:00Z,43
1922122,East,ROPAR,11 KV Arya College Road,Planned,Active,2026-09-02T12:08:00Z,2026-09-02T14:00:00Z,112
1922129,North,JALANDHAR,QILA MOHALLA,Unplanned,Active,2026-09-02T12:07:00Z,2026-09-02T14:00:00Z,113
1922127,South,PATIALA,DULBA,Unplanned,Active,2026-09-02T12:05:00Z,2026-09-02T13:30:00Z,85
1922126,North,NAWANSHAHR,SADHOWAL,Unplanned,Active,2026-09-02T12:05:00Z,2026-09-02T14:05:00Z,120
1922121,Central,CITY WEST LUDHIANA,RADHA SWAMI ROAD,Unplanned,Active,2026-09-02T12:04:49Z,2026-09-02T14:04:52Z,120
1922120,Central,CITY WEST LUDHIANA,MERADO FEEDER,Unplanned,Active,2026-09-02T12:04:49Z,2026-09-02T14:04:52Z,120
1922119,Central,CITY WEST LUDHIANA,METRO FEEDER,Unplanned,Active,2026-09-02T12:04:49Z,2026-09-02T14:04:52Z,120
1922137,East,MOHALI,Sec 74-A,Unplanned,Closed,2026-09-02T12:04:00Z,2026-09-02T12:23:00Z,19
1922123,North,JALANDHAR,11KV GTB NAGAR,Unplanned,Active,2026-09-02T12:02:00Z,2026-09-02T13:04:00Z,62
1922117,North,JALANDHAR,CENTRAL MILL,Unplanned,Active,2026-09-02T11:58:00Z,2026-09-02T14:00:00Z,122
1922115,North,JALANDHAR,11 kv central town,Unplanned,Active,2026-09-02T11:55:00Z,2026-09-02T12:35:00Z,40
1922124,Border,GURDASPUR,Azizpur,Unplanned,Active,2026-09-02T11:54:00Z,2026-09-02T13:40:00Z,106
1922116,North,JALANDHAR,CIVIL LINE,Unplanned,Active,2026-09-02T11:54:00Z,2026-09-02T12:35:00Z,41
1922109,West,MUKATSAR,11 KV Alamgarh,Unplanned,Active,2026-09-02T11:52:08Z,2026-09-02T12:32:52Z,40
