outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1917204,South,SANGRUR,11 KV MANDER KALAN UPS,Planned,Active,2026-08-26T10:30:00Z,2026-08-26T13:30:00Z,180
1917201,West,BATHINDA,JUJHAR SINGH NAGAR,Planned,Active,2026-08-26T09:00:00Z,2026-08-26T17:00:00Z,480
1917205,North,JALANDHAR,INDUSTRIAL AREA 1,Unplanned,Active,2026-08-26T08:52:00Z,2026-08-26T09:15:00Z,23
1917203,East,ROPAR,SABJI MANDI,Unplanned,Active,2026-08-26T08:15:00Z,2026-08-26T10:00:00Z,105
1917200,South,PATIALA,11 KV RAI MAJRA,Unplanned,Closed,2026-08-26T08:09:36Z,2026-08-26T08:50:51Z,41
1917197,West,MUKATSAR,11 KV GANGA NAGAR ROAD,Unplanned,Active,2026-08-26T07:51:21Z,2026-08-26T08:23:32Z,32
1917199,West,MUKATSAR,11 KV KANDHWALA Road Urban,Unplanned,Active,2026-08-26T07:51:03Z,2026-08-26T08:24:10Z,33
1917196,West,MUKATSAR,11 KV NAI ABADI,Unplanned,Active,2026-08-26T07:51:01Z,2026-08-26T08:23:11Z,32
1917198,West,MUKATSAR,11 KV SIDHU NAGRI,Unplanned,Closed,2026-08-26T07:50:46Z,2026-08-26T08:30:52Z,40
1917202,Border,TARN TARAN,Railway Road Urban..,Unplanned,Active,2026-08-26T07:45:00Z,2026-08-26T11:00:00Z,195
1917192,West,BATHINDA,Budhlada URBAN,Unplanned,Active,2026-08-26T07:40:00Z,2026-08-26T10:00:00Z,140
1917195,South,SANGRUR,Fatehgarh ups,Unplanned,Closed,2026-08-26T07:38:56Z,2026-08-26T08:48:56Z,70
1917194,South,SANGRUR,24 HRS. BHANI,Unplanned,Closed,2026-08-26T07:38:34Z,2026-08-26T08:48:34Z,70
1917193,South,SANGRUR,GANDUAN CITY,Unplanned,Closed,2026-08-26T07:38:34Z,2026-08-26T08:48:34Z,70
1917191,Border,GURDASPUR,City-2,Unplanned,Closed,2026-08-26T06:40:00Z,2026-08-26T07:10:00Z,30
1917190,West,MUKATSAR,11 KV KANDHWALA Road Urban,Unplanned,Closed,2026-08-26T06:28:31Z,2026-08-26T07:24:37Z,56
1917188,West,MUKATSAR,11 KV GANGA NAGAR ROAD,Unplanned,Closed,2026-08-26T06:26:44Z,2026-08-26T07:35:52Z,69
1917187,West,MUKATSAR,11 KV NAI ABADI,Unplanned,Closed,2026-08-26T06:25:23Z,2026-08-26T07:27:28Z,62
1917189,West,MUKATSAR,11 KV SIDHU NAGRI,Unplanned,Closed,2026-08-26T06:24:10Z,2026-08-26T07:36:15Z,72
1917185,West,BATHINDA,LELEWALA,Unplanned,Closed,2026-08-26T06:04:00Z,2026-08-26T06:45:00Z,41
1917186,Central,SUB URBAN LUDHIANA,CITY-6,Unplanned,Closed,2026-08-26T05:40:00Z,2026-08-26T06:50:00Z,70
1917184,Border,SUB URBAN AMRITSAR,MALL MANDI,Unplanned,Closed,2026-08-26T04:53:00Z,2026-08-26T05:16:00Z,23
1917183,Border,SUB URBAN AMRITSAR,88 feet road,Unplanned,Closed,2026-08-26T04:30:00Z,2026-08-26T04:55:00Z,25
1917182,South,PATIALA,UPS ALLOWAL,Unplanned,Closed,2026-08-26T04:10:00Z,2026-08-26T05:30:00Z,80
1917181,Border,GURDASPUR,City-2,Unplanned,Closed,2026-08-26T03:54:00Z,2026-08-26T04:19:00Z,25
1917180,West,MUKATSAR,11 KV Rajiv Nagar,Unplanned,Closed,2026-08-26T02:29:53Z,2026-08-26T02:44:02Z,14
1917179,Border,GURDASPUR,CITY AWANKHA,Unplanned,Closed,2026-08-26T02:26:55Z,2026-08-26T03:19:20Z,52
1917177,West,MUKATSAR,11 KV NAI ABADI,Unplanned,Closed,2026-08-26T02:04:38Z,2026-08-26T03:34:56Z,90
1917178,Border,SUB URBAN AMRITSAR,Tung pai,Unplanned,Closed,2026-08-26T02:00:00Z,2026-08-26T03:00:00Z,60
1917176,Border,GURDASPUR,City-1,Unplanned,Closed,2026-08-26T01:17:36Z,2026-08-26T01:50:08Z,32
1917175,Border,SUB URBAN AMRITSAR,Guru AmarDass Avenue,Unplanned,Closed,2026-08-26T01:03:00Z,2026-08-26T01:42:00Z,39
1917174,Border,GURDASPUR,City Thana,Unplanned,Closed,2026-08-26T00:17:29Z,2026-08-26T00:55:09Z,37
1917173,North,JALANDHAR,GURU AMAR DASS NAGAR,Unplanned,Closed,2026-08-26T00:17:00Z,2026-08-26T00:55:00Z,38
1917172,East,Zirakpur,11 KV PREM NAGAR FEEDER,Unplanned,Closed,2026-08-26T00:03:00Z,2026-08-26T00:25:00Z,22
