outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1927969,South,SANGRUR,Gaushala Road,Planned,Active,2026-09-08T14:01:00Z,2026-09-08T17:00:00Z,179
1928115,Border,SUB URBAN AMRITSAR,C-BLOCK RANJIT AVENUE,Planned,Active,2026-09-08T13:01:54Z,2026-09-08T16:00:00Z,178
1928125,Border,GURDASPUR,ARYA NAGAR,Unplanned,Active,2026-09-08T12:50:00Z,2026-09-08T13:32:00Z,42
1928120,South,SANGRUR,11KV UPS TOGAWAL,Planned,Active,2026-09-08T12:45:55Z,2026-09-08T13:15:05Z,29
1928119,South,SANGRUR,11KV KHIWA KHURD AP,Planned,Active,2026-09-08T12:45:29Z,2026-09-08T13:15:38Z,30
1928121,South,SANGRUR,HEERON KALAN AP,Planned,Active,2026-09-08T12:45:17Z,2026-09-08T13:16:24Z,31
1928124,East,MOHALI,11 KV RAIPUR KALAN UPS,Unplanned,Active,2026-09-08T12:45:00Z,2026-09-08T13:00:00Z,15
1928123,East,MOHALI,11KV SHAMPUR AP,Unplanned,Active,2026-09-08T12:45:00Z,2026-09-08T13:47:56Z,62
1928118,West,MUKATSAR,11 KV KIKKER KHERA,Unplanned,Active,2026-09-08T12:44:33Z,2026-09-08T13:14:46Z,30
1928122,West,FARIDKOT,Kothe Dhaliwal,Planned,Active,2026-09-08T12:43:19Z,2026-09-08T13:30:00Z,46
1928116,North,NAWANSHAHR,CITY II,Unplanned,Active,2026-09-08T12:40:00Z,2026-09-08T13:30:00Z,50
1928114,West,MUKATSAR,11 KV GANGA NAGAR ROAD,Unplanned,Active,2026-09-08T12:38:22Z,2026-09-08T13:30:25Z,52
1928113,West,MUKATSAR,11 KV Chirag dhani,Unplanned,Active,2026-09-08T12:38:22Z,2026-09-08T13:30:25Z,52
1928112,West,MUKATSAR,11 KV TARA ESTATE,Unplanned,Active,2026-09-08T12:38:22Z,2026-09-08T13:30:25Z,52
1928111,West,MUKATSAR,11 KV Alamgarh,Unplanned,Active,2026-09-08T12:38:22Z,2026-09-08T13:30:25Z,52
1928117,North,KAPURTHALA,UPS DHAPAI,Unplanned,Active,2026-09-08T12:38:00Z,2026-09-08T14:30:00Z,112
1928110,South,PATIALA,DARSHANI GATE,Planned,Active,2026-09-08T12:37:44Z,2026-09-08T14:50:55Z,133
1928109,North,JALANDHAR,11 kv central town,Unplanned,Active,2026-09-08T12:30:00Z,2026-09-08T13:20:00Z,50
1928108,Border,TARN TARAN,Jandiala Road Urban.,Unplanned,Active,2026-09-08T12:25:00Z,2026-09-08T15:00:00Z,155
1928107,Border,TARN TARAN,11 KV Industrial Feeder,Unplanned,Active,2026-09-08T12:25:00Z,2026-09-08T15:00:00Z,155
1928106,Border,TARN TARAN,KADD GILL UPS,Unplanned,Active,2026-09-08T12:25:00Z,2026-09-08T15:00:00Z,155
1928105,East,MOHALI,Sector-113,Unplanned,Active,2026-09-08T12:20:00Z,2026-09-08T14:00:00Z,100
1928104,Border,GURDASPUR,Pioneer Agro,Unplanned,Closed,2026-09-08T12:18:00Z,2026-09-08T12:45:00Z,27
1928101,North,JALANDHAR,INDUSTRIAL AREA 1,Unplanned,Closed,2026-09-08T12:14:00Z,2026-09-08T12:38:00Z,24
1928103,South,PATIALA,ups pilkhani,Unplanned,Active,2026-09-08T12:10:00Z,2026-09-08T13:00:00Z,50
1928102,North,HOSHIARPUR,BHKALA,Planned,Active,2026-09-08T12:10:00Z,2026-09-08T14:10:00Z,120
1928099,North,HOSHIARPUR,khudda,Unplanned,Closed,2026-09-08T12:10:00Z,2026-09-08T12:30:00Z,20
1928098,East,MOHALI,11KV DURALI UPS,Unplanned,Closed,2026-09-08T12:10:00Z,2026-09-08T12:23:29Z,13
1928096,North,NAWANSHAHR,THOPIA,Unplanned,Closed,2026-09-08T12:05:00Z,2026-09-08T12:20:00Z,15
1928091,South,BARNALA,ADAMWAL,Planned,Active,2026-09-08T12:05:00Z,2026-09-08T16:00:00Z,235
1928094,South,SANGRUR,AGE,Unplanned,Active,2026-09-08T12:00:00Z,2026-09-08T14:00:00Z,120
1928093,South,SANGRUR,NABHA GATE,Unplanned,Active,2026-09-08T12:00:00Z,2026-09-08T14:00:00Z,120
1928092,West,FARIDKOT,Dhana Basti,Planned,Closed,2026-09-08T11:57:49Z,2026-09-08T12:29:00Z,31
1928100,North,JALANDHAR,HIG,Unplanned,Active,2026-09-08T11:57:00Z,2026-09-08T12:30:00Z,33
1928097,North,JALANDHAR,JASWANT NAGAR,Unplanned,Active,2026-09-08T11:55:00Z,2026-09-08T13:53:00Z,118
1928090,North,NAWANSHAHR,AKALIANA,Unplanned,Closed,2026-09-08T11:55:00Z,2026-09-08T12:40:00Z,45
1928089,South,SANGRUR,UPS RAMPURA,Unplanned,Closed,2026-09-08T11:55:00Z,2026-09-08T12:35:00Z,40
1928087,Central,CITY EAST LUDHIANA,New Sahibana,Unplanned,Closed,2026-09-08T11:50:13Z,2026-09-08T12:20:00Z,29
1928088,South,SANGRUR,KULARAN AP (GRID SUNAM),Planned,Active,2026-09-08T11:50:00Z,2026-09-08T18:00:00Z,370
1927824,South,PATIALA,Tej Bagh Colony,Planned,Active,2026-09-08T11:46:00Z,2026-09-08T17:30:00Z,344
1928082,North,HOSHIARPUR,Talla,Unplanned,Closed,2026-09-08T11:40:00Z,2026-09-08T12:00:00Z,20
1928079,Border,GURDASPUR,City-1,Unplanned,Closed,2026-09-08T11:34:00Z,2026-09-08T12:04:00Z,30
1928095,West,FARIDKOT,GURU NANAK COLONY,Planned,Active,2026-09-08T11:30:00Z,2026-09-08T14:00:00Z,150
1928085,Border,GURDASPUR,DHINDSA,Unplanned,Closed,2026-09-08T11:25:00Z,2026-09-08T12:25:00Z,60
1928084,Border,GURDASPUR,THEKERIWAL,Unplanned,Active,2026-09-08T11:25:00Z,2026-09-08T17:00:00Z,335
1928083,Border,GURDASPUR,Basrawan,Unplanned,Active,2026-09-08T11:25:00Z,2026-09-08T17:00:00Z,335
1928081,Border,GURDASPUR,RAILWAY ROAD CAT-1,Unplanned,Active,2026-09-08T11:25:00Z,2026-09-08T17:00:00Z,335
1928070,East,ROPAR,11 KV LIC Colony,Planned,Active,2026-09-08T11:25:00Z,2026-09-08T13:00:00Z,95
1928075,Border,GURDASPUR,Model Town,Unplanned,Active,2026-09-08T11:22:00Z,2026-09-08T13:00:00Z,98
1928072,North,HOSHIARPUR,MASTIWAL,Unplanned,Closed,2026-09-08T11:20:00Z,2026-09-08T12:05:00Z,45
1928071,North,HOSHIARPUR,Pandori Attwal,Unplanned,Closed,2026-09-08T11:20:00Z,2026-09-08T12:05:00Z,45
1928068,East,Zirakpur,Jalalpur Kandi Pure AP,Unplanned,Closed,2026-09-08T11:20:00Z,2026-09-08T11:50:00Z,30
1928067,Central,KHANNA,Bhattian,Unplanned,Active,2026-09-08T11:20:00Z,2026-09-08T13:20:00Z,120
1928073,Border,GURDASPUR,City SJN,Unplanned,Active,2026-09-08T11:19:00Z,2026-09-08T13:00:00Z,101
1928086,South,PATIALA,UPS,Unplanned,Closed,2026-09-08T11:18:00Z,2026-09-08T11:50:00Z,32
1928080,South,PATIALA,ups pilkhani,Unplanned,Closed,2026-09-08T11:18:00Z,2026-09-08T11:50:00Z,32
1928074,Central,KHANNA,Gagan Feeder,Unplanned,Closed,2026-09-08T11:17:00Z,2026-09-08T11:50:00Z,33
1928076,East,MOHALI,11KV JAND PUR,Unplanned,Active,2026-09-08T11:15:52Z,2026-09-08T13:01:34Z,105
1928078,North,JALANDHAR,Viva Collage New,Unplanned,Closed,2026-09-08T11:15:00Z,2026-09-08T12:05:00Z,50
1928077,North,JALANDHAR,Lilly Resort,Unplanned,Closed,2026-09-08T11:15:00Z,2026-09-08T12:05:00Z,50
1928064,East,Zirakpur,Jastna Kandi Pure AP,Unplanned,Closed,2026-09-08T11:15:00Z,2026-09-08T11:20:00Z,5
1928063,East,Zirakpur,MES,Unplanned,Closed,2026-09-08T11:15:00Z,2026-09-08T12:15:00Z,60
1928066,North,JALANDHAR,11 kv central town,Unplanned,Closed,2026-09-08T11:14:30Z,2026-09-08T12:00:55Z,46
1928069,East,ROPAR,Asmanpur,Unplanned,Closed,2026-09-08T11:08:00Z,2026-09-08T11:40:08Z,32
1928062,East,Zirakpur,SANULI,Unplanned,Closed,2026-09-08T11:06:00Z,2026-09-08T11:23:00Z,17
1928061,North,NAWANSHAHR,CHANDIANI,Unplanned,Closed,2026-09-08T11:05:00Z,2026-09-08T11:45:00Z,40
1928059,North,NAWANSHAHR,Achan Chak,Unplanned,Closed,2026-09-08T11:05:00Z,2026-09-08T11:15:00Z,10
1928058,Central,CITY EAST LUDHIANA,BK engineering feeder,Unplanned,Closed,2026-09-08T11:03:19Z,2026-09-08T11:33:23Z,30
1928057,Central,CITY EAST LUDHIANA,Shivpuri,Unplanned,Closed,2026-09-08T10:58:00Z,2026-09-08T11:57:00Z,59
1928060,East,ROPAR,Nurpur Bedi,Unplanned,Closed,2026-09-08T10:55:38Z,2026-09-08T11:45:04Z,49
1928055,Central,CITY EAST LUDHIANA,GOLD STAR,Unplanned,Closed,2026-09-08T10:50:15Z,2026-09-08T11:05:06Z,14
1928065,Border,TARN TARAN,City 7,Unplanned,Active,2026-09-08T10:50:00Z,2026-09-08T13:00:00Z,130
1928054,Border,GURDASPUR,Ranipur,Unplanned,Closed,2026-09-08T10:48:00Z,2026-09-08T11:58:00Z,70
1928048,South,SANGRUR,BABA JEET SINGH WALA,Unplanned,Closed,2026-09-08T10:45:47Z,2026-09-08T11:59:24Z,73
1928049,Central,CITY EAST LUDHIANA,Gaurav Land Developer,Unplanned,Closed,2026-09-08T10:45:38Z,2026-09-08T11:04:26Z,18
1928047,South,SANGRUR,11 KV LONGOWAL ROAD AP(LOHAKHER),Unplanned,Closed,2026-09-08T10:45:20Z,2026-09-08T11:59:34Z,74
1928053,North,NAWANSHAHR,Danduwal,Unplanned,Closed,2026-09-08T10:45:00Z,2026-09-08T11:25:00Z,40
1928038,East,ROPAR,Nijjer Road,Planned,Active,2026-09-08T10:45:00Z,2026-09-08T13:00:00Z,135
1928040,Central,CITY EAST LUDHIANA,BHOLAPUR,Unplanned,Closed,2026-09-08T10:44:11Z,2026-09-08T11:00:07Z,15
1928039,Central,CITY EAST LUDHIANA,New Sahibana,Unplanned,Closed,2026-09-08T10:44:11Z,2026-09-08T11:03:42Z,19
1928026,East,ROPAR,11 KV Plazzo ELite,Planned,Active,2026-09-08T10:43:00Z,2026-09-08T13:00:00Z,137
1928027,Border,GURDASPUR,GAJIKOT,Unplanned,Closed,2026-09-08T10:38:00Z,2026-09-08T11:08:00Z,30
1928032,North,NAWANSHAHR,CHUSHMA,Unplanned,Closed,2026-09-08T10:35:00Z,2026-09-08T12:25:00Z,110
1928024,East,ROPAR,PARADISE,Planned,Active,2026-09-08T10:35:00Z,2026-09-08T13:00:00Z,145
1928023,South,SANGRUR,City-I,Unplanned,Active,2026-09-08T10:31:00Z,2026-09-08T13:00:00Z,149
1928033,East,MOHALI,11kv Saidpura,Unplanned,Closed,2026-09-08T10:30:00Z,2026-09-08T10:50:29Z,20
1928029,East,MOHALI,11 KV GIDDARPUR AP,Unplanned,Closed,2026-09-08T10:30:00Z,2026-09-08T10:50:18Z,20
1928025,East,MOHALI,Sec 70-c,Unplanned,Closed,2026-09-08T10:30:00Z,2026-09-08T12:42:17Z,132
1928056,West,BATHINDA,PARAS RAM NAGAR,Planned,Closed,2026-09-08T10:26:00Z,2026-09-08T11:30:02Z,64
1928021,Border,TARN TARAN,GTB Nagar,Planned,Active,2026-09-08T10:25:48Z,2026-09-08T14:00:48Z,215
1928020,Border,TARN TARAN,CITY 4,Planned,Active,2026-09-08T10:25:48Z,2026-09-08T14:00:48Z,215
1928028,Border,GURDASPUR,Kiari,Unplanned,Closed,2026-09-08T10:25:00Z,2026-09-08T12:10:00Z,105
1928022,South,BARNALA,11KV TARAKSHEEL ROAD,Unplanned,Active,2026-09-08T10:25:00Z,2026-09-08T12:25:00Z,120
1928037,Border,GURDASPUR,Sunder Chack,Planned,Active,2026-09-08T10:20:51Z,2026-09-08T17:00:51Z,400
1928036,Border,GURDASPUR,Malpur,Planned,Active,2026-09-08T10:20:51Z,2026-09-08T17:00:51Z,400
1928035,Border,GURDASPUR,Chakral,Planned,Active,2026-09-08T10:20:51Z,2026-09-08T17:00:51Z,400
1928034,Border,GURDASPUR,Bani Lodhi,Planned,Active,2026-09-08T10:20:51Z,2026-09-08T17:00:51Z,400
1928052,Border,GURDASPUR,11 KV UPS Muthi Feeder,Planned,Active,2026-09-08T10:20:43Z,2026-09-08T17:00:43Z,400
1928051,Border,GURDASPUR,11KV UPS Datial Feeder,Planned,Active,2026-09-08T10:20:43Z,2026-09-08T17:00:43Z,400
1928050,Border,GURDASPUR,Manwal,Planned,Active,2026-09-08T10:20:43Z,2026-09-08T17:00:43Z,400
1928018,South,SANGRUR,MANDVI CITY,Planned,Closed,2026-09-08T10:20:37Z,2026-09-08T11:20:54Z,60
1928046,Border,GURDASPUR,Jaswan,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928045,Border,GURDASPUR,BOP Dhinda,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928044,Border,GURDASPUR,UPS Basau Barwan,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928043,Border,GURDASPUR,BOP Tash,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928042,Border,GURDASPUR,Bamial 24hrs,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928041,Border,GURDASPUR,N.J.Singh 24hrs,Planned,Active,2026-09-08T10:20:36Z,2026-09-08T17:00:36Z,400
1928031,North,JALANDHAR,RAJOWAL,Unplanned,Closed,2026-09-08T10:20:00Z,2026-09-08T10:45:00Z,25
1928019,West,FARIDKOT,Dana Mandi Old,Planned,Closed,2026-09-08T10:18:30Z,2026-09-08T10:45:39Z,27
1928010,Border,SUB URBAN AMRITSAR,DHING NANGAL AP,Planned,Closed,2026-09-08T10:16:39Z,2026-09-08T12:30:00Z,133
1928030,North,JALANDHAR,ADAMPUR,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:30:00Z,75
1928017,North,NAWANSHAHR,MAHIPUR,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:05:00Z,50
1928016,South,SANGRUR,Jaganwala AP,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:45:00Z,90
1928015,South,SANGRUR,Kothi Sahib AP,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:45:00Z,90
1928014,South,SANGRUR,KanjlaAP,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:45:00Z,90
1928012,South,SANGRUR,Patherwala,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:45:00Z,90
1928011,South,SANGRUR,Punnawal AP,Unplanned,Closed,2026-09-08T10:15:00Z,2026-09-08T11:45:00Z,90
1928009,East,Zirakpur,LALRU MANDI,Unplanned,Closed,2026-09-08T10:14:00Z,2026-09-08T10:30:00Z,16
1928008,Border,TARN TARAN,24 Hour Supp Panjwar,Planned,Active,2026-09-08T10:05:58Z,2026-09-08T14:00:58Z,235
1928007,Border,TARN TARAN,MATA BAGGO URBAN IND.,Planned,Active,2026-09-08T10:05:58Z,2026-09-08T14:00:58Z,235
1928006,Border,TARN TARAN,24 Hours Supp Mir Pur,Planned,Active,2026-09-08T10:05:58Z,2026-09-08T14:00:58Z,235
1928005,Border,TARN TARAN,24 Hours supp Khardin,Planned,Active,2026-09-08T10:05:58Z,2026-09-08T14:00:58Z,235
