PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
25026,GURDASPUR,Raavi(FL14),Approved/ Active Permit,2026-09-10T12:53:47Z,2026-09-10T12:52:00Z
25025,SANGRUR,City-I(FL04),Approved/ Active Permit,2026-09-10T12:42:17Z,2026-09-10T12:39:00Z
25024,SUB URBAN AMRITSAR,GUMTALA(FL10),Cancellation Request Approved (Permit not active),2026-09-10T12:36:32Z,2026-09-10T12:35:00Z
25023,KHANNA,BEER MATA(FL18),Approved/ Active Permit,2026-09-10T12:35:46Z,2026-09-10T12:34:00Z
25022,PATIALA,11KV Sanauri Adda(FL10),Approved/ Active Permit,2026-09-10T12:34:50Z,2026-09-10T12:33:00Z
25021,SANGRUR,11 KV Jawanda UPS(FL02),Approved/ Active Permit,2026-09-10T12:34:17Z,2026-09-10T12:32:00Z
25020,Zirakpur,Jalalpur Kandi Pure AP(FL26),Approved/ Active Permit,2026-09-10T12:28:43Z,2026-09-10T12:27:00Z
25019,SANGRUR,"24 HRS. BALRAN(FL01), BALRAN(FL11), PAPRA(main+branch)(FL15)",Cancellation Request Approved (Permit not active),2026-09-10T12:23:53Z,2026-09-10T12:23:00Z
25018,SUB URBAN LUDHIANA,CITY-5 UPS(FL20),Approved/ Active Permit,2026-09-10T12:20:23Z,2026-09-10T12:18:00Z
25017,SANGRUR,"Harchandpura AP(FL06), Dera Baba Saul Dass(FL04), Dairy wala(FL05)",Approved/ Active Permit,2026-09-10T12:08:07Z,2026-09-10T12:05:00Z
25016,SUB URBAN LUDHIANA,Industry(FL05),Cancellation Request Approved (Permit not active),2026-09-10T12:07:50Z,2026-09-10T12:06:00Z
25015,GURDASPUR,SAILI ROAD(FL18),Cancellation Request Approved (Permit not active),2026-09-10T11:59:45Z,2026-09-10T11:58:00Z
25014,NAWANSHAHR,Bundala Cat-1(FL01),Approved/ Active Permit,2026-09-10T11:56:41Z,2026-09-10T11:56:00Z
25013,JALANDHAR,KALRA(FL03),Cancellation Request Approved (Permit not active),2026-09-10T11:41:30Z,2026-09-10T11:39:00Z
25012,KHANNA,FCI(FL09),Cancellation Request Approved (Permit not active),2026-09-10T11:35:52Z,2026-09-10T11:32:00Z
25011,SANGRUR,"Gugga Marhi(FL08), Dera Dudian AP(FL07)",Cancellation Request Approved (Permit not active),2026-09-10T11:32:36Z,2026-09-10T11:29:00Z
25010,MUKATSAR,"11 KV Focal Point-1(FL14), 11 KV Focal Point-2(FL15)",Cancellation Request Approved (Permit not active),2026-09-10T11:29:58Z,2026-09-10T11:29:00Z
25009,KHANNA,FCI(FL09),Rejected BY SSA/SSO,2026-09-10T11:29:58Z,2026-09-10T11:28:00Z
25008,GURDASPUR,Islampur No. 1(FL17),Cancellation Request Approved (Permit not active),2026-09-10T11:25:38Z,2026-09-10T11:25:00Z
25007,GURDASPUR,Ranipur(FL03),Cancellation Request Approved (Permit not active),2026-09-10T11:23:16Z,2026-09-10T11:22:00Z
25006,MUKATSAR,"11 KV SAIDANWALI(FL07), 11 KV Dharampura(FL09)",Cancellation Request Approved (Permit not active),2026-09-10T11:22:52Z,2026-09-10T11:22:00Z
25005,MUKATSAR,"New Patrewala UPS(FL05), 11 KV Danewala AP(FL06)",Approved/ Active Permit,2026-09-10T11:17:15Z,2026-09-10T11:16:00Z
25004,GURDASPUR,Anandpur Road(FL03),Cancellation Request Approved (Permit not active),2026-09-10T11:14:36Z,2026-09-10T11:13:00Z
25003,GURDASPUR,"Raavi(FL14), Behrian(FL13)",Cancellation Request Approved (Permit not active),2026-09-10T10:49:46Z,2026-09-10T10:48:00Z
25002,PATIALA,Bakhshiwal(FL08),Cancellation Request Approved (Permit not active),2026-09-10T10:41:42Z,2026-09-10T10:40:00Z
25001,GURDASPUR,"Irrigation(FL05), Azizpur(FL03)",Cancellation Request Approved (Permit not active),2026-09-10T10:36:52Z,2026-09-10T10:34:00Z
25000,Zirakpur,GOLDEN HUT(FL30),Cancellation Request Approved (Permit not active),2026-09-10T10:35:07Z,2026-09-10T10:33:00Z
24999,Zirakpur,GOLDEN HUT(FL30),Rejected BY SSA/SSO,2026-09-10T10:32:44Z,2026-09-10T10:31:00Z
24998,Zirakpur,LALRU RURAL  Kandi Pure AP(FL23),Cancellation Request Approved (Permit not active),2026-09-10T10:25:57Z,2026-09-10T10:24:00Z
24997,SANGRUR,11KV UPS TOGAWAL(FL08),Cancellation Request Approved (Permit not active),2026-09-10T10:25:33Z,2026-09-10T10:24:00Z
24996,TARN TARAN,RAYYA BACK FEEDING(FL03),Approved/ Active Permit,2026-09-10T10:23:36Z,2026-09-10T10:22:00Z
24995,SANGRUR,"NANKIANA SAHIB(FL04), HARIPURA(FL15)",Cancellation Request Approved (Permit not active),2026-09-10T10:16:44Z,2026-09-10T10:15:00Z
24994,BARNALA,MALERKOTLA-2(FL03),Permit Request Submitted (Permit not active),2026-09-10T10:15:23Z,2026-09-10T10:14:00Z
24993,KHANNA,Samrala Road(FL04),Cancellation Request Approved (Permit not active),2026-09-10T10:15:19Z,2026-09-10T10:14:00Z
24992,BARNALA,MALERKOTLA-2(FL03),Cancellation Request Approved (Permit not active),2026-09-10T10:13:07Z,2026-09-10T10:12:00Z
24991,NAWANSHAHR,BORA(FL02),Cancellation Request Approved (Permit not active),2026-09-10T09:59:53Z,2026-09-10T09:57:00Z
24990,SUB URBAN AMRITSAR,DADDIAN UPS(FL04),Cancellation Request Approved (Permit not active),2026-09-10T09:53:01Z,2026-09-10T09:51:00Z
24989,TARN TARAN,"KHABERAJPUTA(FL13), Udhonangal(D927)",Cancellation Request Approved (Permit not active),2026-09-10T09:28:22Z,2026-09-10T09:27:00Z
24988,SUB URBAN AMRITSAR,Friends Avenue(FL14),Cancellation Request Approved (Permit not active),2026-09-10T01:42:34Z,2026-09-10T01:41:00Z
24987,SANGRUR,Dharampura(FL15),Cancellation Request Approved (Permit not active),2026-09-10T00:12:57Z,2026-09-10T00:12:00Z
24986,SUB URBAN LUDHIANA,City-1 Maloud(FL05),Cancellation Request Approved (Permit not active),2026-09-09T23:15:51Z,2026-09-09T23:12:00Z
24985,JALANDHAR,PUNJABI BAGH(FL31),Cancellation Request Approved (Permit not active),2026-09-09T22:09:39Z,2026-09-09T22:08:00Z
24984,Zirakpur,"LALRU MANDI(FL12), BPCL(FL31)",Cancellation Request Approved (Permit not active),2026-09-09T22:07:56Z,2026-09-09T22:06:00Z
24983,PATIALA,SARHIND ROAD(FL08),Cancellation Request Approved (Permit not active),2026-09-09T21:49:02Z,2026-09-09T21:48:00Z
24982,JALANDHAR,MARKETER(FL03),Cancellation Request Approved (Permit not active),2026-09-09T21:15:02Z,2026-09-09T21:13:00Z
24981,CITY WEST LUDHIANA,URBAN ESTATE PH-1(FL01),Cancellation Request Approved (Permit not active),2026-09-09T20:23:54Z,2026-09-09T20:23:00Z
24980,SANGRUR,11KV UPS TOGAWAL(FL08),Cancellation Request Approved (Permit not active),2026-09-09T20:15:49Z,2026-09-09T20:13:00Z
24979,MUKATSAR,11 KV Azimgarh Urban(FL03),Cancellation Request Approved (Permit not active),2026-09-09T19:57:12Z,2026-09-09T19:56:00Z
24978,CITY WEST LUDHIANA,JANTA NAGAR(FL10),Cancellation Request Approved (Permit not active),2026-09-09T19:35:05Z,2026-09-09T19:34:00Z
24977,GURDASPUR,11kv nirankari(Fl12),Cancellation Request Approved (Permit not active),2026-09-09T19:28:33Z,2026-09-09T19:26:00Z
24976,CITY WEST LUDHIANA,Jagraon Concast(FL42),Active But Cancellation Request Submitted,2026-09-09T19:20:56Z,2026-09-09T19:20:00Z
