PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
20831,HOSHIARPUR,CHHAMB(FL3B),Permit Request Submitted (Permit not active),2026-07-06T12:18:03Z,2026-07-06T12:15:00Z
20830,SANGRUR,11 KV HEERO KALAN UPS(FL13),Approved/ Active Permit,2026-07-06T12:14:44Z,2026-07-06T12:13:00Z
20829,KHANNA,Goldev City(FL31),Approved/ Active Permit,2026-07-06T12:12:54Z,2026-07-06T12:11:00Z
20828,SANGRUR,Dera rajputa(FLO9),Approved/ Active Permit,2026-07-06T12:09:48Z,2026-07-06T12:08:00Z
20827,SANGRUR,Ballran C-1(FL01),Approved/ Active Permit,2026-07-06T11:51:44Z,2026-07-06T11:51:00Z
20826,SUB URBAN AMRITSAR,NAG KALAN URBAN(FL06),Approved/ Active Permit,2026-07-06T11:47:45Z,2026-07-06T11:46:00Z
20825,JALANDHAR,PILOT(FL02),Cancellation Request Approved (Permit not active),2026-07-06T11:43:45Z,2026-07-06T11:43:00Z
20824,JALANDHAR,"MODEL HOUSE(FL01), BHARO CAMP(FL04)",Cancellation Request Approved (Permit not active),2026-07-06T11:21:28Z,2026-07-06T11:20:00Z
20823,JALANDHAR,GLOBE COLONY(FL06),Cancellation Request Approved (Permit not active),2026-07-06T11:10:18Z,2026-07-06T11:08:00Z
20822,CITY AMRITSAR,Bhai Laloji Nagar(FL04),Approved/ Active Permit,2026-07-06T11:02:35Z,2026-07-06T11:01:00Z
20821,JALANDHAR,INDUSTRIAL AREA 2(FL17),Cancellation Request Approved (Permit not active),2026-07-06T10:57:29Z,2026-07-06T10:56:00Z
20820,KAPURTHALA,"UPS Seowal(FL01), Sahariwal(FL05)",Cancellation Request Approved (Permit not active),2026-07-06T10:53:18Z,2026-07-06T10:52:00Z
20819,SUB URBAN AMRITSAR,MAJITHA(FL11),Approved/ Active Permit,2026-07-06T10:50:18Z,2026-07-06T10:48:00Z
20818,PATIALA,DIDAR STEEL(FL09),Cancellation Request Approved (Permit not active),2026-07-06T10:50:05Z,2026-07-06T10:49:00Z
20817,SUB URBAN AMRITSAR,"CHAND INDUSTRY(D831), Industry NAG(FL02), Sawdeshi Korean(FL07)",Approved/ Active Permit,2026-07-06T10:44:40Z,2026-07-06T10:44:00Z
20816,SUB URBAN AMRITSAR,"Pandori UPS(FL01), Pandori(FL03)",Approved/ Active Permit,2026-07-06T10:42:08Z,2026-07-06T10:41:00Z
20815,PATIALA,SALARIA VIHAR(FL02),Cancellation Request Approved (Permit not active),2026-07-06T10:40:47Z,2026-07-06T10:38:00Z
20814,CITY AMRITSAR,MAKBOOL PURA(FL09),Approved/ Active Permit,2026-07-06T10:23:21Z,2026-07-06T10:22:00Z
20813,JALANDHAR,GLOBE COLONY(FL06),Cancellation Request Approved (Permit not active),2026-07-06T10:10:44Z,2026-07-06T10:09:00Z
20812,SUB URBAN AMRITSAR,RANJIT AVENUE(FL03),Cancellation Request Approved (Permit not active),2026-07-06T09:19:39Z,2026-07-06T09:05:00Z
20811,SUB URBAN AMRITSAR,NAG KALAN(FL01),Cancellation Request Approved (Permit not active),2026-07-06T07:12:35Z,2026-07-06T07:11:00Z
20810,SUB URBAN AMRITSAR,MAJITHA(FL11),Cancellation Request Approved (Permit not active),2026-07-06T07:05:16Z,2026-07-06T07:04:00Z
20809,GURDASPUR,Preet Nagar(FL05),Cancellation Request Approved (Permit not active),2026-07-06T00:23:06Z,2026-07-06T00:21:00Z
20808,FARIDKOT,SAHIBZADA AJIT SINGH NAGAR(FL18),Cancellation Request Approved (Permit not active),2026-07-05T23:25:01Z,2026-07-05T23:24:00Z
20807,JALANDHAR,PUNJABI BAGH(FL31),Cancellation Request Approved (Permit not active),2026-07-05T23:18:00Z,2026-07-05T23:17:00Z
20806,KAPURTHALA,AJIT NAGAR(FL03),Cancellation Request Approved (Permit not active),2026-07-05T21:41:27Z,2026-07-05T21:41:00Z
20805,Zirakpur,Dehar. Cat. 1(FL21),Cancellation Request Approved (Permit not active),2026-07-05T19:44:11Z,2026-07-05T19:43:00Z
20804,CITY WEST LUDHIANA,Kiran Vihar(FL20),Cancellation Request Approved (Permit not active),2026-07-05T19:40:58Z,2026-07-05T19:40:00Z
20803,MUKATSAR,"New Patrewala UPS(FL05), 11 KV Danewala AP(FL06)",Cancellation Request Approved (Permit not active),2026-07-05T19:08:55Z,2026-07-05T19:08:00Z
20802,GURDASPUR,Preet Nagar(FL05),Cancellation Request Approved (Permit not active),2026-07-05T19:07:37Z,2026-07-05T19:01:00Z
20801,MUKATSAR,11 KV Alamgarh(FL03),Cancellation Request Approved (Permit not active),2026-07-05T18:42:45Z,2026-07-05T18:42:00Z
