outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1889833,South,SANGRUR,11 KV DHARAMGARH AP (C),Unplanned,Active,2026-06-26T11:47:00Z,2026-06-26T13:00:00Z,73
1889831,Border,SUB URBAN AMRITSAR,KOTLA SULTAN SINGH UPS,Unplanned,Active,2026-06-26T11:15:22Z,2026-06-26T11:45:52Z,30
1889811,Border,GURDASPUR,ADDA BEHRAMPUR,Planned,Active,2026-06-26T11:00:51Z,2026-06-26T17:00:51Z,360
1889810,Border,GURDASPUR,DODWAN UPS,Planned,Active,2026-06-26T11:00:51Z,2026-06-26T17:00:51Z,360
1889809,Border,GURDASPUR,Bahmani,Planned,Active,2026-06-26T11:00:51Z,2026-06-26T17:00:51Z,360
1889808,Border,GURDASPUR,Daburji,Planned,Active,2026-06-26T11:00:51Z,2026-06-26T17:00:51Z,360
1889806,Border,GURDASPUR,Thathi,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889805,Border,GURDASPUR,Sadda,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889804,Border,GURDASPUR,Ganji,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889803,Border,GURDASPUR,Tahli Sahib,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889802,Border,GURDASPUR,Miani,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889801,Border,GURDASPUR,BOP,Planned,Active,2026-06-26T11:00:33Z,2026-06-26T17:00:33Z,360
1889813,Border,GURDASPUR,Kalanangal,Planned,Active,2026-06-26T11:00:00Z,2026-06-26T17:00:00Z,360
1889812,Border,GURDASPUR,BATHWALA,Planned,Active,2026-06-26T11:00:00Z,2026-06-26T17:00:00Z,360
1889828,South,SANGRUR,New Bushera,Unplanned,Closed,2026-06-26T10:59:22Z,2026-06-26T11:34:15Z,34
1889830,South,SANGRUR,11 KV BABA CHATTAR DASS AP,Unplanned,Active,2026-06-26T10:47:00Z,2026-06-26T12:30:00Z,103
1889827,South,SANGRUR,24 HRS. MAHASINGHWALA,Unplanned,Active,2026-06-26T10:45:31Z,2026-06-26T11:31:17Z,45
1889826,West,BATHINDA,PEERKHANA,Unplanned,Active,2026-06-26T10:41:09Z,2026-06-26T11:55:54Z,74
1889825,Border,CITY AMRITSAR,MAQBOOL ROAD,Unplanned,Active,2026-06-26T10:40:00Z,2026-06-26T10:50:00Z,10
1889818,South,SANGRUR,AZAD AP,Planned,Active,2026-06-26T10:30:51Z,2026-06-26T11:25:09Z,54
1889819,South,SANGRUR,BHAMNIWALA,Planned,Active,2026-06-26T10:30:32Z,2026-06-26T11:25:41Z,55
1889824,South,PATIALA,Hasanpur,Unplanned,Active,2026-06-26T10:27:27Z,2026-06-26T11:56:10Z,88
1889823,South,PATIALA,Achal,Unplanned,Active,2026-06-26T10:27:27Z,2026-06-26T11:56:10Z,88
1889822,South,PATIALA,UPS Achal,Unplanned,Active,2026-06-26T10:27:27Z,2026-06-26T11:56:10Z,88
1889829,South,SANGRUR,24 HRS. HAMIRGARH,Unplanned,Closed,2026-06-26T10:26:00Z,2026-06-26T11:50:00Z,84
1889820,South,SANGRUR,Bhunder Bhaini,Planned,Active,2026-06-26T10:20:19Z,2026-06-26T20:00:31Z,580
1889817,West,FEROZPUR,SAIDE KE NAUL,Unplanned,Closed,2026-06-26T10:08:00Z,2026-06-26T11:08:00Z,60
1889815,South,SANGRUR,UPS GULARI,Unplanned,Closed,2026-06-26T09:58:00Z,2026-06-26T10:30:00Z,32
1889814,West,FEROZPUR,ARSONAL,Unplanned,Closed,2026-06-26T09:51:00Z,2026-06-26T11:39:00Z,108
1889800,East,ROPAR,11 KV KHABRAN,Unplanned,Closed,2026-06-26T09:38:00Z,2026-06-26T10:30:00Z,52
1889816,South,SANGRUR,Kakarwal,Unplanned,Closed,2026-06-26T09:00:00Z,2026-06-26T10:36:00Z,96
1889832,Border,CITY AMRITSAR,Chatiwind Gate,Unplanned,Closed,2026-06-26T08:58:00Z,2026-06-26T09:43:00Z,45
1889799,South,PATIALA,11 KV PUDA ENCLAVE,Unplanned,Closed,2026-06-26T08:55:00Z,2026-06-26T10:30:00Z,95
1889807,South,PATIALA,NABHA NO.1,Unplanned,Closed,2026-06-26T08:45:00Z,2026-06-26T09:58:00Z,73
