PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
16321,JALANDHAR,PUNJABI BAGH(FL31),Approved/ Active Permit,2026-05-19T11:45:44Z,2026-05-19T11:44:00Z
16320,PATIALA,City Badshahpur(FL10),Approved/ Active Permit,2026-05-19T11:45:43Z,2026-05-19T11:44:00Z
16319,JALANDHAR,JAGDAMBAY FEEDER(FL20),Approved/ Active Permit,2026-05-19T11:38:14Z,2026-05-19T11:36:00Z
16318,JALANDHAR,PANJPEER(FL04),Cancellation Request Approved (Permit not active),2026-05-19T11:33:56Z,2026-05-19T11:33:00Z
16317,SUB URBAN AMRITSAR,Mallan Wali(FL18),Approved/ Active Permit,2026-05-19T11:28:09Z,2026-05-19T11:25:00Z
16316,JALANDHAR,"11 KV LAW GATE FEEDER(FL24), VIEW ESTATE(FL13), DANA MANDI RAIPUR(FL10)",Approved/ Active Permit,2026-05-19T11:27:51Z,2026-05-19T11:26:00Z
16315,JALANDHAR,UDYOG NAGAR(FL12),Approved/ Active Permit,2026-05-19T11:26:07Z,2026-05-19T11:24:00Z
16314,KAPURTHALA,"UPS KACHI SARAI KHAS(FL11), Kangna(FL01), Gill(FL08), URBAN INDUSTRY(FL17)",Approved/ Active Permit,2026-05-19T11:25:24Z,2026-05-19T11:24:00Z
16313,HOSHIARPUR,Naurangabad(FL10),Cancellation Request Approved (Permit not active),2026-05-19T11:22:44Z,2026-05-19T11:21:00Z
16312,JALANDHAR,RAMA MANDI(FL11),Cancellation Request Approved (Permit not active),2026-05-19T11:21:20Z,2026-05-19T11:17:00Z
16311,TARN TARAN,SARJA(FL12),Approved/ Active Permit,2026-05-19T11:11:16Z,2026-05-19T11:09:00Z
16310,KHANNA,Samrala Road(FL04),Cancellation Request Approved (Permit not active),2026-05-19T11:07:15Z,2026-05-19T11:06:00Z
16309,Zirakpur,11KV BEHRA FEEDER(E39),Cancellation Request Approved (Permit not active),2026-05-19T11:02:21Z,2026-05-19T11:01:00Z
16308,JALANDHAR,"11KV UDESIAN(FL13), HARIPUR(FL02)",Cancellation Request Approved (Permit not active),2026-05-19T10:59:42Z,2026-05-19T10:58:00Z
16307,PATIALA,jiwan complex(FL14),Cancellation Request Approved (Permit not active),2026-05-19T10:54:59Z,2026-05-19T10:54:00Z
16306,JALANDHAR,RAJOWAL(FL11),Cancellation Request Approved (Permit not active),2026-05-19T10:54:36Z,2026-05-19T10:53:00Z
16305,PATIALA,BSNL(FL07),Approved/ Active Permit,2026-05-19T10:51:24Z,2026-05-19T10:49:00Z
16304,HOSHIARPUR,NAWA GHAR(FL15),Cancellation Request Approved (Permit not active),2026-05-19T10:50:57Z,2026-05-19T10:48:00Z
16303,SANGRUR,11 kv Kothe Raneke AP(FL14),Approved/ Active Permit,2026-05-19T10:50:20Z,2026-05-19T10:45:00Z
16302,JALANDHAR,Pandori(FL25),Cancellation Request Approved (Permit not active),2026-05-19T10:48:38Z,2026-05-19T10:47:00Z
16301,Zirakpur,INDUSTRIAL LALRU(FL14),Approved/ Active Permit,2026-05-19T10:48:26Z,2026-05-19T10:47:00Z
16300,MUKATSAR,11 KV Telupura(FL10),Cancellation Request Approved (Permit not active),2026-05-19T10:48:18Z,2026-05-19T10:47:00Z
16299,KAPURTHALA,DAINWIND (UPS)(FL11),Permit Request Submitted (Permit not active),2026-05-19T10:45:47Z,2026-05-19T10:45:00Z
16298,MUKATSAR,11 KV RIDHI SIDHI URBAN(FL13),Cancellation Request Approved (Permit not active),2026-05-19T10:44:38Z,2026-05-19T10:42:00Z
