PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
20180,CITY AMRITSAR,Cheel Mandi(FL05),Approved/ Active Permit,2026-06-25T11:54:08Z,2026-06-25T11:52:00Z
20179,SANGRUR,Udham Singh(FL08),Approved/ Active Permit,2026-06-25T11:45:51Z,2026-06-25T11:45:00Z
20178,SUB URBAN AMRITSAR,C-BLOCK RANJIT AVENUE(FL12),Approved/ Active Permit,2026-06-25T11:42:34Z,2026-06-25T11:42:00Z
20177,FARIDKOT,11 KV HAKAM SINGH WALA-R(FL08),Approved/ Active Permit,2026-06-25T11:38:59Z,2026-06-25T11:38:00Z
20176,JALANDHAR,RANDHAWA MASANDA(FL04),Cancellation Request Approved (Permit not active),2026-06-25T10:56:23Z,2026-06-25T10:55:00Z
20175,KAPURTHALA,"Kotli Gajran(FL04), UPS Kotli(FL09)",Approved/ Active Permit,2026-06-25T10:49:00Z,2026-06-25T10:47:00Z
20174,Zirakpur,MUKANDPUR(FL03),Cancellation Request Approved (Permit not active),2026-06-25T10:43:46Z,2026-06-25T10:43:00Z
20173,SANGRUR,KARODA CAT1(FL03),Cancellation Request Approved (Permit not active),2026-06-25T10:42:01Z,2026-06-25T10:38:00Z
20172,MUKATSAR,Dhani Sucha Singh (Old Chakra)(FL07),Cancellation Request Approved (Permit not active),2026-06-25T10:28:38Z,2026-06-25T10:28:00Z
20171,KAPURTHALA,UPS KACHI SARAI KHAS(FL11),Approved/ Active Permit,2026-06-25T10:23:28Z,2026-06-25T10:22:00Z
20170,SUB URBAN AMRITSAR,"HOUSING BOARD COLONY(FL06), C-BLOCK RANJIT AVENUE(FL12)",Cancellation Request Approved (Permit not active),2026-06-25T10:22:37Z,2026-06-25T10:20:00Z
20169,Zirakpur,MUKANDPUR(FL03),Rejected BY SSA/SSO,2026-06-25T10:20:57Z,2026-06-25T10:19:00Z
20168,Zirakpur,MUKANDPUR(FL03),Rejected BY SSA/SSO,2026-06-25T10:16:57Z,2026-06-25T10:16:00Z
20167,Zirakpur,MUKANDPUR(FL03),Rejected BY SSA/SSO,2026-06-25T10:12:36Z,2026-06-25T10:11:00Z
20166,SANGRUR,"11 KV MODEL TOWN AP(CHHAJLI GRID(FL24), 11 KV SUNAM ROAD AP(CHHAJLI GRID(FL09)",Approved/ Active Permit,2026-06-25T10:11:21Z,2026-06-25T10:10:00Z
20165,SANGRUR,"Bakhopir II(FL10), DIALPURA(FL03)",Active But Cancellation Request Submitted,2026-06-25T10:06:57Z,2026-06-25T10:05:00Z
20164,SANGRUR,"Bagrian Road(FL02), Mannwala(FL11), Industrial (Dhuri)(FL16)",Cancellation Request Approved (Permit not active),2026-06-25T10:05:43Z,2026-06-25T10:03:00Z
20163,MUKATSAR,11 KV Alamgarh(FL03),Cancellation Request Approved (Permit not active),2026-06-25T10:04:17Z,2026-06-25T10:03:00Z
20162,Zirakpur,MUKANDPUR(FL03),Rejected BY SSA/SSO,2026-06-25T10:03:51Z,2026-06-25T10:03:00Z
20161,Zirakpur,MUKANDPUR(FL03),Rejected BY SSA/SSO,2026-06-25T10:01:52Z,2026-06-25T10:00:00Z
20160,MUKATSAR,"HARIPURA(FL02), PANJKOSI(FL06)",Cancellation Request Approved (Permit not active),2026-06-25T09:46:52Z,2026-06-25T09:46:00Z
20159,KHANNA,ANJ(FL07),Approved/ Active Permit,2026-06-25T09:34:43Z,2026-06-25T09:32:00Z
20158,FARIDKOT,MADAK ROAD(FL04),Cancellation Request Approved (Permit not active),2026-06-25T09:14:05Z,2026-06-25T09:11:00Z
20157,JALANDHAR,INDUSTRIAL AREA 1(FL14),Cancellation Request Approved (Permit not active),2026-06-25T08:46:03Z,2026-06-25T08:44:00Z
20156,KHANNA,Amloh Road(FL22),Cancellation Request Approved (Permit not active),2026-06-25T08:42:12Z,2026-06-25T08:41:00Z
20155,KHANNA,Amloh Road(FL22),Permit Request Submitted (Permit not active),2026-06-25T08:30:25Z,2026-06-25T08:29:00Z
20154,KHANNA,Amloh Road(FL22),Rejected BY SSA/SSO,2026-06-25T08:26:59Z,2026-06-25T08:25:00Z
20153,JALANDHAR,GADAI PUR - 2(FL22),Cancellation Request Approved (Permit not active),2026-06-25T03:10:42Z,2026-06-25T03:10:00Z
20152,SUB URBAN AMRITSAR,silverstate(Fl09),Cancellation Request Approved (Permit not active),2026-06-24T23:41:32Z,2026-06-24T23:41:00Z
20151,SUB URBAN AMRITSAR,"D-block,  GAD avenue(FL23)",Cancellation Request Approved (Permit not active),2026-06-24T23:38:45Z,2026-06-24T23:38:00Z
20150,JALANDHAR,GURU AMAR DASS NAGAR(FL14),Cancellation Request Approved (Permit not active),2026-06-24T22:52:58Z,2026-06-24T22:52:00Z
20149,JALANDHAR,UDYOG NAGAR(FL12),Cancellation Request Approved (Permit not active),2026-06-24T22:09:05Z,2026-06-24T22:08:00Z
20148,KHANNA,"Sangtpura(FL15), New Shanti Nagar(FL26)",Cancellation Request Approved (Permit not active),2026-06-24T21:03:20Z,2026-06-24T21:02:00Z
20147,JALANDHAR,SHANKAR(FL01),Cancellation Request Approved (Permit not active),2026-06-24T20:58:41Z,2026-06-24T20:58:00Z
20146,SANGRUR,GEHLAN(FL10),Cancellation Request Approved (Permit not active),2026-06-24T20:13:51Z,2026-06-24T20:11:00Z
20145,JALANDHAR,SHANKAR(FL01),Cancellation Request Approved (Permit not active),2026-06-24T19:18:59Z,2026-06-24T19:18:00Z
20144,JALANDHAR,GLOBE COLONY(FL06),Cancellation Request Approved (Permit not active),2026-06-24T19:03:05Z,2026-06-24T19:01:00Z
20143,JALANDHAR,GURU AMAR DASS NAGAR(FL14),Cancellation Request Approved (Permit not active),2026-06-24T18:52:09Z,2026-06-24T18:45:00Z
20142,SUB URBAN AMRITSAR,RAKH NAG(FL15),Cancellation Request Approved (Permit not active),2026-06-24T18:37:05Z,2026-06-24T18:35:00Z
20141,SANGRUR,GULARI(D232),Cancellation Request Approved (Permit not active),2026-06-24T18:01:55Z,2026-06-24T18:00:00Z
20140,TARN TARAN,THATHIAN UPS(FL14),Cancellation Request Approved (Permit not active),2026-06-24T17:53:13Z,2026-06-24T17:52:00Z
20139,Zirakpur,DAPPAR(FL16),Cancellation Request Approved (Permit not active),2026-06-24T17:53:02Z,2026-06-24T17:52:00Z
20138,SANGRUR,Rampura (BHT)(FL04),Cancellation Request Approved (Permit not active),2026-06-24T17:50:16Z,2026-06-24T17:47:00Z
20137,PATIALA,Ram Ashram(FL04),Cancellation Request Approved (Permit not active),2026-06-24T17:45:14Z,2026-06-24T17:44:00Z
20136,KAPURTHALA,URBAN INDUSTRY(FL17),Cancellation Request Approved (Permit not active),2026-06-24T17:20:56Z,2026-06-24T17:20:00Z
20135,JALANDHAR,FAZIL PUR(FL28),Cancellation Request Approved (Permit not active),2026-06-24T17:12:48Z,2026-06-24T17:11:00Z
20134,SANGRUR,UPS GULARI(FL06),Cancellation Request Approved (Permit not active),2026-06-24T16:27:55Z,2026-06-24T16:26:00Z
20133,SANGRUR,MAKORD SAHIB(new+old)(FL05),Cancellation Request Approved (Permit not active),2026-06-24T16:24:49Z,2026-06-24T16:23:00Z
20132,PATIALA,UPS RAIPUR(FL15),Cancellation Request Approved (Permit not active),2026-06-24T16:15:03Z,2026-06-24T16:14:00Z
20131,Zirakpur,MIAN PUR(FL18),Cancellation Request Approved (Permit not active),2026-06-24T16:09:31Z,2026-06-24T16:08:00Z
20130,Zirakpur,DERABASSI URBAN II(FL19),Cancellation Request Approved (Permit not active),2026-06-24T16:05:35Z,2026-06-24T16:03:00Z
20129,PATIALA,SULAR(FL12),Cancellation Request Approved (Permit not active),2026-06-24T16:03:19Z,2026-06-24T16:01:00Z
20128,HOSHIARPUR,BADLA(FL05),Cancellation Request Approved (Permit not active),2026-06-24T15:53:39Z,2026-06-24T15:50:00Z
20127,JALANDHAR,EKTA NAGAR(FL11),Cancellation Request Approved (Permit not active),2026-06-24T15:36:36Z,2026-06-24T15:36:00Z
20126,KAPURTHALA,"UPS KACHI SARAI KHAS(FL11), Kangna(FL01), Gill(FL08), URBAN INDUSTRY(FL17)",Cancellation Request Approved (Permit not active),2026-06-24T15:16:33Z,2026-06-24T15:15:00Z
20125,PATIALA,Omaxe(FL17),Cancellation Request Approved (Permit not active),2026-06-24T15:15:00Z,2026-06-24T15:11:00Z
20124,Zirakpur,11KV BEHRA FEEDER(E39),Cancellation Request Approved (Permit not active),2026-06-24T15:05:14Z,2026-06-24T15:04:00Z
20123,SUB URBAN AMRITSAR,BABA SHRI CHAND AVNUE(FL12),Cancellation Request Approved (Permit not active),2026-06-24T15:04:03Z,2026-06-24T15:03:00Z
20122,MUKATSAR,11 KV New Water Works -2(FL06),Cancellation Request Approved (Permit not active),2026-06-24T14:47:26Z,2026-06-24T14:46:00Z
20121,SUB URBAN AMRITSAR,MES(FL02),Cancellation Request Approved (Permit not active),2026-06-24T14:42:01Z,2026-06-24T14:40:00Z
20120,SANGRUR,UPS-1(FL07),Cancellation Request Approved (Permit not active),2026-06-24T14:37:51Z,2026-06-24T14:37:00Z
20119,KAPURTHALA,UPS MALLIWAL(FL16),Cancellation Request Approved (Permit not active),2026-06-24T14:31:43Z,2026-06-24T14:30:00Z
20118,JALANDHAR,UNIVERSIY(FL04),Cancellation Request Approved (Permit not active),2026-06-24T14:26:19Z,2026-06-24T14:25:00Z
20117,KAPURTHALA,"UPS KACHI SARAI KHAS(FL11), Gill(FL08), URBAN INDUSTRY(FL17)",Cancellation Request Approved (Permit not active),2026-06-24T14:01:17Z,2026-06-24T13:59:00Z
20115,KAPURTHALA,URBAN INDUSTRY(FL17),Cancellation Request Approved (Permit not active),2026-06-24T13:48:12Z,2026-06-24T13:47:00Z
20114,SANGRUR,UPS RAMPURA(FL21),Cancellation Request Approved (Permit not active),2026-06-24T13:29:13Z,2026-06-24T13:27:00Z
20113,SANGRUR,Radhe krishan+(handa branch)a.p(FL09),Cancellation Request Approved (Permit not active),2026-06-24T13:25:32Z,2026-06-24T13:24:00Z
20112,SANGRUR,City-II(FL13),Cancellation Request Approved (Permit not active),2026-06-24T13:22:06Z,2026-06-24T13:20:00Z
20111,SUB URBAN AMRITSAR,DADDIAN UPS(FL04),Cancellation Request Approved (Permit not active),2026-06-24T13:17:06Z,2026-06-24T13:15:00Z
20110,PATIALA,"Assa Majra(FL04), Ablowal(FL11)",Cancellation Request Approved (Permit not active),2026-06-24T13:08:18Z,2026-06-24T13:07:00Z
20109,JALANDHAR,INDUSTRIAL-3(FL13),Cancellation Request Approved (Permit not active),2026-06-24T12:48:55Z,2026-06-24T12:47:00Z
20108,Zirakpur,JAGAN TUBE(FL02),Cancellation Request Approved (Permit not active),2026-06-24T12:48:00Z,2026-06-24T12:47:00Z
20107,SANGRUR,11 KV BHATTIWAL KALAN(FL12),Cancellation Request Approved (Permit not active),2026-06-24T12:37:24Z,2026-06-24T12:36:00Z
20106,TARN TARAN,PANDORI SIDHWAN(FL04),Cancellation Request Approved (Permit not active),2026-06-24T12:26:03Z,2026-06-24T12:25:00Z
