outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1914763,East,Zirakpur,SONA PAPER MILL,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914762,East,Zirakpur,JAI PARVATI FORGE,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914761,East,Zirakpur,PML,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914760,East,Zirakpur,BARWALA ROAD,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914759,East,Zirakpur,ALASKA FABTECH,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914758,East,Zirakpur,11 kv kuranwala industry,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914757,East,Zirakpur,USHA YARNS,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914756,East,Zirakpur,Bhagwanpur industry,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914755,East,Zirakpur,JAI MULTI ENNG.,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914754,East,Zirakpur,AP PAPER,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914753,East,Zirakpur,barvala industrial park,Planned,Active,2026-08-15T10:30:00Z,2026-08-15T16:00:00Z,330
1914811,South,SANGRUR,11 KV ROHI AP,Unplanned,Active,2026-08-15T08:27:29Z,2026-08-15T09:17:08Z,49
1914808,Border,SUB URBAN AMRITSAR,Gehri,Unplanned,Active,2026-08-15T08:15:00Z,2026-08-15T10:00:00Z,105
1914807,Border,GURDASPUR,Manj,Unplanned,Active,2026-08-15T08:01:17Z,2026-08-15T08:50:17Z,49
1914809,South,PATIALA,UPS MANDOUR,Unplanned,Active,2026-08-15T07:55:00Z,2026-08-15T09:55:00Z,120
1914806,East,Zirakpur,HERMITAGE,Unplanned,Closed,2026-08-15T07:50:00Z,2026-08-15T08:34:00Z,44
1914810,South,PATIALA,11 KV UPS BORAN-KALAN,Unplanned,Active,2026-08-15T07:30:00Z,2026-08-15T09:30:00Z,120
1914805,North,HOSHIARPUR,FOCAL POINT,Unplanned,Active,2026-08-15T06:40:00Z,2026-08-15T09:00:00Z,140
1914804,North,HOSHIARPUR,PURHIRAN URBAN,Unplanned,Active,2026-08-15T06:40:00Z,2026-08-15T09:00:00Z,140
1914803,South,PATIALA,UPS ROHTA SAHIB,Unplanned,Active,2026-08-15T06:22:00Z,2026-08-15T08:22:00Z,120
1914802,East,Zirakpur,Vasant Vihar,Unplanned,Closed,2026-08-15T06:15:00Z,2026-08-15T07:08:00Z,53
1914793,South,PATIALA,Lakkar Mandi,Unplanned,Active,2026-08-15T03:03:38Z,2026-08-15T03:40:21Z,36
1914801,East,ROPAR,LAKHNAUR,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914800,East,ROPAR,11 KV Omni,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914799,East,ROPAR,11 KV Roorki,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914798,East,ROPAR,SUHALI,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914797,East,ROPAR,PALHERI,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914796,East,ROPAR,"11 KV Teur, UPS",Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914795,East,ROPAR,11KV SRG FEEDER,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914794,East,ROPAR,BHAJOLI,Unplanned,Active,2026-08-15T02:29:00Z,2026-08-15T09:00:00Z,391
1914792,South,SANGRUR,Markfed,Unplanned,Closed,2026-08-14T23:26:16Z,2026-08-15T00:15:33Z,49
1914787,Border,TARN TARAN,11 KV Industrial Feeder,Unplanned,Closed,2026-08-14T22:35:00Z,2026-08-14T23:01:00Z,26
1914785,West,MUKATSAR,MAUJGARH,Unplanned,Closed,2026-08-14T21:30:34Z,2026-08-14T21:45:44Z,15
1914784,West,MUKATSAR,DALMIR KHERA,Unplanned,Closed,2026-08-14T21:30:02Z,2026-08-14T21:48:13Z,18
1914786,Border,CITY AMRITSAR,11KV HussainPura,Unplanned,Closed,2026-08-14T21:09:00Z,2026-08-14T21:38:00Z,29
1914780,East,Zirakpur,DAPPAR,Unplanned,Closed,2026-08-14T21:06:00Z,2026-08-14T21:25:00Z,19
1914779,South,BARNALA,Sekha Road,Planned,Closed,2026-08-14T21:00:00Z,2026-08-14T21:20:00Z,20
1914778,East,Zirakpur,HARMILAP NAGAR,Unplanned,Closed,2026-08-14T20:58:00Z,2026-08-14T22:03:00Z,65
1914777,West,FEROZPUR,UPS FEEDER,Unplanned,Closed,2026-08-14T20:45:00Z,2026-08-14T23:21:00Z,156
1914776,Border,TARN TARAN,Khadoor Sahib URBAN.,Unplanned,Closed,2026-08-14T20:27:00Z,2026-08-14T20:50:00Z,23
1914773,West,MUKATSAR,11 KV KANDHWALA Road Urban,Unplanned,Closed,2026-08-14T20:26:11Z,2026-08-14T21:28:20Z,62
1914774,West,MUKATSAR,11 KV Dhani Bisehesarnath,Unplanned,Closed,2026-08-14T20:26:03Z,2026-08-14T21:12:10Z,46
1914772,West,MUKATSAR,11 KV SIDHU NAGRI,Unplanned,Closed,2026-08-14T20:25:28Z,2026-08-14T21:24:37Z,59
1914771,West,MUKATSAR,11 KV GANGA NAGAR ROAD,Unplanned,Closed,2026-08-14T20:24:50Z,2026-08-14T21:21:06Z,56
1914775,West,MUKATSAR,11 KV Azimgarh Urban,Unplanned,Closed,2026-08-14T20:24:29Z,2026-08-14T21:12:41Z,48
1914770,West,MUKATSAR,11 KV NAI ABADI,Unplanned,Closed,2026-08-14T20:23:51Z,2026-08-14T21:20:30Z,56
1914769,Border,TARN TARAN,Sanghey UPS,Unplanned,Closed,2026-08-14T20:05:00Z,2026-08-14T21:01:00Z,56
1914781,South,PATIALA,URBAN NANAKSAR,Unplanned,Closed,2026-08-14T19:57:00Z,2026-08-14T21:00:00Z,63
1914767,Border,SUB URBAN AMRITSAR,11 kv Mohan Nagar,Unplanned,Closed,2026-08-14T19:50:00Z,2026-08-14T21:05:00Z,75
1914768,South,PATIALA,Sirhind Road,Unplanned,Closed,2026-08-14T19:46:00Z,2026-08-14T21:05:00Z,79
1914765,South,PATIALA,Mehs Gate,Unplanned,Closed,2026-08-14T19:41:00Z,2026-08-14T21:15:00Z,94
1914766,Border,SUB URBAN AMRITSAR,GURU NAGAR,Unplanned,Closed,2026-08-14T19:30:00Z,2026-08-14T21:05:00Z,95
1914752,East,Zirakpur,SANULI,Unplanned,Closed,2026-08-14T19:15:00Z,2026-08-14T19:59:00Z,44
1914790,South,PATIALA,UPS MIRJAPUR,Unplanned,Closed,2026-08-14T19:03:43Z,2026-08-15T03:23:43Z,500
1914789,South,PATIALA,GAJJU KHERA URBAN,Unplanned,Closed,2026-08-14T19:03:43Z,2026-08-15T03:21:43Z,498
1914788,South,PATIALA,UPS PAWALA,Unplanned,Closed,2026-08-14T19:03:43Z,2026-08-15T03:20:43Z,497
1914749,East,Zirakpur,MUKANDPUR,Unplanned,Closed,2026-08-14T18:28:00Z,2026-08-14T19:10:00Z,42
1914747,East,Zirakpur,MIAN PUR,Unplanned,Closed,2026-08-14T18:26:00Z,2026-08-14T19:10:00Z,44
1914746,North,JALANDHAR,MODEL TOWN,Unplanned,Closed,2026-08-14T18:18:27Z,2026-08-14T18:48:58Z,30
1914751,South,PATIALA,Ajit Nagar,Unplanned,Closed,2026-08-14T18:10:00Z,2026-08-14T18:55:00Z,45
1914748,South,PATIALA,Civil Hospital Nabha,Unplanned,Closed,2026-08-14T18:10:00Z,2026-08-14T18:55:00Z,45
1914745,South,PATIALA,Veer Singh Colony,Unplanned,Closed,2026-08-14T17:40:00Z,2026-08-14T18:58:00Z,78
1914744,South,PATIALA,Mehs Gate,Unplanned,Closed,2026-08-14T17:40:00Z,2026-08-14T19:40:00Z,120
1914739,South,SANGRUR,Dharampura,Planned,Closed,2026-08-14T17:24:00Z,2026-08-14T18:15:00Z,51
1914736,West,MUKATSAR,11 KV BALLUANA UPS,Unplanned,Closed,2026-08-14T17:20:50Z,2026-08-14T18:12:05Z,51
1914735,West,MUKATSAR,11 KV PAKKI TIBBI,Unplanned,Closed,2026-08-14T17:20:11Z,2026-08-14T18:12:28Z,52
