outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1928549,South,PATIALA,DHAROKI NO 2,Unplanned,Active,2026-09-09T12:57:00Z,2026-09-09T14:00:00Z,63
1928548,East,Zirakpur,HLP,Unplanned,Active,2026-09-09T12:48:00Z,2026-09-09T14:30:00Z,102
1928546,North,JALANDHAR,11KV S A S NAGAR,Unplanned,Active,2026-09-09T12:48:00Z,2026-09-09T13:30:00Z,42
1928545,North,HOSHIARPUR,BOHAN,Unplanned,Active,2026-09-09T12:40:00Z,2026-09-09T13:18:00Z,38
1928544,West,MUKATSAR,Kheowali,Unplanned,Active,2026-09-09T12:40:00Z,2026-09-09T14:00:00Z,80
1928547,East,MOHALI,11KV IT CITY,Unplanned,Active,2026-09-09T12:39:00Z,2026-09-09T13:53:12Z,74
1928540,North,NAWANSHAHR,SADHOWAL,Unplanned,Active,2026-09-09T12:35:00Z,2026-09-09T14:35:00Z,120
1928538,South,PATIALA,UPS CHAUNDA,Unplanned,Active,2026-09-09T12:33:00Z,2026-09-09T15:00:00Z,147
1928535,South,SANGRUR,Industrial (Benra),Unplanned,Active,2026-09-09T12:30:31Z,2026-09-09T14:00:00Z,89
1928543,Border,GURDASPUR,Gorsiya,Unplanned,Active,2026-09-09T12:30:00Z,2026-09-09T17:00:00Z,270
1928542,Border,GURDASPUR,UPS Feeder,Unplanned,Active,2026-09-09T12:30:00Z,2026-09-09T17:00:00Z,270
1928541,Border,GURDASPUR,Bhaini Mian Khan,Unplanned,Active,2026-09-09T12:30:00Z,2026-09-09T17:00:00Z,270
1928539,Border,GURDASPUR,Sheh Bhattia,Unplanned,Active,2026-09-09T12:30:00Z,2026-09-09T17:00:00Z,270
1928536,North,HOSHIARPUR,KHUN-2 KALAN,Unplanned,Active,2026-09-09T12:30:00Z,2026-09-09T13:30:00Z,60
1928531,West,MUKATSAR,BAHAVAL BASI,Unplanned,Active,2026-09-09T12:20:33Z,2026-09-09T13:05:34Z,45
1928537,North,KAPURTHALA,UPS Seowal,Unplanned,Active,2026-09-09T12:20:00Z,2026-09-09T14:00:00Z,100
1928530,Border,CITY AMRITSAR,swadeshi mill,Unplanned,Closed,2026-09-09T12:18:26Z,2026-09-09T12:22:45Z,4
1928529,West,FEROZPUR,RINGMAIN B,Planned,Active,2026-09-09T12:16:00Z,2026-09-09T13:34:00Z,78
1928534,South,PATIALA,UPS  KHANSIAN,Unplanned,Active,2026-09-09T12:15:00Z,2026-09-09T14:00:00Z,105
1928533,South,PATIALA,BHARAT NAGAR,Unplanned,Closed,2026-09-09T12:11:00Z,2026-09-09T12:42:00Z,31
1928526,East,MOHALI,LOGISTIC,Unplanned,Closed,2026-09-09T12:05:00Z,2026-09-09T12:15:25Z,10
1928525,East,MOHALI,SIGMA,Unplanned,Closed,2026-09-09T12:05:00Z,2026-09-09T12:15:13Z,10
1928524,East,MOHALI,MOHIKALAN UPS,Unplanned,Closed,2026-09-09T12:05:00Z,2026-09-09T12:15:56Z,10
1928523,East,MOHALI,GHARAMA AP,Unplanned,Closed,2026-09-09T12:05:00Z,2026-09-09T12:15:42Z,10
1928522,East,MOHALI,KHERIGURNA AP,Unplanned,Closed,2026-09-09T12:05:00Z,2026-09-09T12:15:29Z,10
1928527,North,KAPURTHALA,Khaira Majjha,Unplanned,Closed,2026-09-09T12:00:00Z,2026-09-09T12:20:00Z,20
1928516,Border,SUB URBAN AMRITSAR,GOKAL NAGAR,Planned,Active,2026-09-09T11:55:00Z,2026-09-09T12:55:00Z,60
1928513,Border,SUB URBAN AMRITSAR,Hari mandir,Planned,Active,2026-09-09T11:55:00Z,2026-09-09T12:55:00Z,60
1928521,East,ROPAR,Haripur,Unplanned,Closed,2026-09-09T11:52:00Z,2026-09-09T12:22:00Z,30
